                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2625,                 4.9998,                 1.5896,                0.48891,                0.31639,                 0.3519,                0.24769,                0.96937,                 3.6324,                 1.3418,             0.00011062,             0.00011062,             0.00011062
                      2,                 1.1307,                  3.968,                 1.4245,                0.51379,                0.68837,                0.67328,                0.47769,                 1.0365,                 2.8577,                  1.372,             0.00021613,             0.00021613,             0.00021613
                      3,                 1.1377,                 3.5093,                 1.4128,                0.68833,                0.66523,                0.79381,                0.57262,                  1.086,                 2.3068,                 1.3398,             0.00031615,             0.00031615,             0.00031615
                      4,                 1.1093,                 3.0479,                 1.3679,                 0.6746,                0.80022,                0.85619,                0.58732,                 1.1314,                 1.9049,                 1.4006,             0.00030827,             0.00030827,             0.00030827
