                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2803,                 5.0637,                 1.5898,                0.48887,                 0.4113,                0.41751,                0.27113,                 1.2074,                 2.3375,                 1.5098,             0.00011062,             0.00011062,             0.00011062
                      2,                 1.1468,                 3.9498,                 1.4291,                 0.6245,                0.61721,                 0.7014,                0.46784,                 1.1776,                 1.7905,                   1.45,             0.00021613,             0.00021613,             0.00021613
                      3,                 1.1215,                 3.3152,                 1.3806,                0.68259,                0.74361,                0.81995,                0.59218,                 1.0819,                 1.4931,                 1.3826,             0.00031615,             0.00031615,             0.00031615
                      4,                 1.1184,                 2.8911,                 1.3673,                0.67161,                0.69936,                0.84844,                0.55938,                 1.2048,                 1.4569,                 1.4593,             0.00030827,             0.00030827,             0.00030827
                      5,                 1.0745,                 2.5726,                 1.3251,                0.71659,                0.83644,                 0.8997,                0.66938,                 1.0056,                 1.2675,                 1.3079,             0.00030827,             0.00030827,             0.00030827
                      6,                 1.0489,                 2.3052,                 1.3103,                0.74482,                0.84604,                0.91345,                 0.6707,                 1.0364,                 1.0629,                 1.3215,             0.00030003,             0.00030003,             0.00030003
                      7,                 1.0454,                 2.1672,                 1.2913,                0.76062,                0.86681,                 0.9099,                0.67946,                0.99665,                0.99502,                 1.2602,             0.00029179,             0.00029179,             0.00029179
                      8,                   1.02,                 2.0118,                 1.2835,                0.82484,                0.93917,                0.95854,                0.70246,                 1.0096,                0.98898,                 1.2963,             0.00028355,             0.00028355,             0.00028355
                      9,                0.98888,                 1.9383,                  1.249,                0.84258,                0.93524,                0.96343,                0.68733,                 1.0934,                0.88081,                 1.3327,             0.00027531,             0.00027531,             0.00027531
                     10,                0.97832,                 1.8166,                 1.2451,                0.85793,                0.97134,                0.96873,                0.71516,                0.96857,                0.84004,                 1.2557,             0.00026707,             0.00026707,             0.00026707
