                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2863,                 5.1077,                 1.5856,                0.51085,                0.37003,                0.37742,                0.24908,                 1.1075,                 2.4216,                  1.409,             0.00011062,             0.00011062,             0.00011062
                      2,                 1.1475,                 3.9466,                 1.4388,                0.58236,                0.71917,                0.73211,                0.50457,                 1.0842,                 1.7791,                 1.4154,             0.00021942,             0.00021942,             0.00021942
                      3,                 1.1343,                 3.3655,                  1.408,                0.66893,                0.67204,                0.77007,                0.58288,                0.89658,                 1.5645,                 1.2399,             0.00032603,             0.00032603,             0.00032603
                      4,                 1.1141,                 2.9113,                  1.361,                0.68592,                0.83967,                0.84797,                0.59779,                 1.1143,                 1.3422,                 1.3729,             0.00032311,             0.00032311,             0.00032311
                      5,                 1.0623,                 2.5671,                 1.3217,                0.83891,                0.82273,                0.91911,                0.67293,                 1.0166,                 1.1516,                 1.3011,             0.00032311,             0.00032311,             0.00032311
                      6,                 1.0581,                 2.3375,                 1.3158,                0.74053,                0.85797,                0.90581,                0.65535,                 1.0858,                 1.1397,                 1.3252,             0.00031981,             0.00031981,             0.00031981
                      7,                 1.0395,                 2.1697,                 1.2887,                0.83342,                0.85318,                0.93666,                0.73089,                0.91971,                 1.0235,                 1.2118,             0.00031652,             0.00031652,             0.00031652
                      8,                 1.0205,                 2.0399,                 1.2791,                0.84714,                0.91055,                0.96064,                0.71234,                0.99255,                 1.0455,                 1.2515,             0.00031322,             0.00031322,             0.00031322
                      9,                0.99659,                 1.8901,                 1.2586,                 0.8202,                0.91139,                0.94699,                0.73563,                0.91733,                 0.9578,                  1.192,             0.00030992,             0.00030992,             0.00030992
                     10,                0.99012,                 1.8219,                 1.2513,                0.80825,                0.91509,                 0.9689,                0.71136,                 1.0476,                0.86469,                 1.2934,             0.00030663,             0.00030663,             0.00030663
                     11,                 0.9888,                 1.7946,                 1.2498,                0.84486,                0.89724,                0.97359,                0.75796,                0.92197,                0.90616,                   1.22,             0.00030333,             0.00030333,             0.00030333
                     12,                0.96129,                 1.7158,                 1.2342,                0.85641,                0.92452,                0.96703,                0.70723,                 1.0415,                0.82295,                 1.2746,             0.00030003,             0.00030003,             0.00030003
                     13,                 0.9433,                 1.6942,                 1.2213,                0.85452,                0.94305,                0.97411,                0.73103,                0.96059,                0.79671,                 1.2382,             0.00029674,             0.00029674,             0.00029674
                     14,                0.93264,                 1.6146,                 1.2078,                0.89808,                0.93091,                0.97884,                0.71493,                 1.0449,                0.81043,                 1.2811,             0.00029344,             0.00029344,             0.00029344
                     15,                0.92701,                 1.5794,                 1.2044,                0.88672,                0.95471,                0.97887,                0.70524,                 1.0684,                0.78679,                 1.3368,             0.00029014,             0.00029014,             0.00029014
                     16,                0.91788,                 1.5139,                 1.2004,                0.93234,                0.96141,                0.99211,                0.74521,                0.96865,                0.71444,                 1.2254,             0.00028685,             0.00028685,             0.00028685
                     17,                0.89266,                 1.4931,                 1.1881,                0.89933,                0.94035,                0.98162,                0.73163,                0.94033,                0.73943,                 1.2205,             0.00028355,             0.00028355,             0.00028355
                     18,                0.90897,                 1.4532,                 1.1852,                0.92929,                0.93256,                0.97917,                0.74049,                0.96211,                0.72203,                 1.2423,             0.00028025,             0.00028025,             0.00028025
